episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
160,2.0,3,0.058588576741423024,0.04801848150499099,0.1804122206805344,24,24
160,2.0,4,0.05884898206207645,0.05301877305504249,0.0990706857237395,24,24
160,2.0,5,0.054837025984967445,0.04576872107312622,0.1653682844566942,24,24
160,2.0,6,0.05136722672770838,0.0405013964990204,0.21153235089537661,24,24
160,2.0,7,0.06324025237243984,0.053190155703257115,0.1589193004796193,24,24
160,2.0,8,0.0638312702989247,0.047627822261495596,0.25384812117239136,24,24
160,2.0,9,0.060558258577700315,0.044101295352563546,0.2717542348748582,24,24
160,2.0,10,0.05008998951298291,0.03827883230994829,0.23579875575684173,24,24
160,2.0,11,0.06251816880532854,0.051639515601806574,0.17400786701536847,16,16
160,2.0,12,0.06022849283669726,0.0508637129518715,0.1554875349482396,24,24
160,2.0,13,0.04922322142431155,0.03854442118106772,0.2169463910374937,24,24
160,2.0,14,0.07329984148495967,0.06613600613608045,0.09773329933256629,24,24
160,2.0,15,0.053825134536697884,0.04548814196782715,0.15489032476429,24,24
160,2.0,16,0.05341074110388037,0.04453446015227934,0.1661890617532763,24,24
160,2.0,17,0.05629638326089842,0.04044500549056235,0.28157009122370935,24,24
160,2.0,18,0.06322732454134684,0.05037188985542558,0.20332087082879155,24,24
160,2.0,19,0.06887855442436293,0.05175135267059609,0.24865797339830348,24,24
160,2.5,0,0.06607533132514429,0.04924330860485297,0.25473989131381114,24,24
160,2.5,1,0.05475870758610405,0.044471716330070216,0.18786037343665016,24,24
160,2.5,2,0.05571566801653142,0.0615286633944865,-0.10433322591107243,24,16
160,2.5,3,0.05227431776245407,0.04930520237784362,0.05679874002569991,2,2
160,2.5,4,0.056582716572424994,0.04463979185751369,0.21107018959799406,24,24
160,2.5,5,0.06725349412812805,0.06422742018592367,0.044995044219401405,24,24
160,2.5,6,0.05033398748219518,0.04018281722894137,0.20167625815150494,24,24
160,2.5,7,0.07750480408856765,0.06857196642805784,0.11525527695421207,24,24
160,2.5,8,0.11741895705920281,0.11273963925150596,0.03985146798176326,24,24
160,2.5,9,0.0683363721049773,0.05350167956653328,0.21708340787619199,24,24
160,2.5,10,0.06381179494194175,0.05058393995758402,0.20729482686379386,24,24
160,2.5,11,0.052826280557551133,0.0454478696301048,0.13967311061031434,24,24
160,2.5,12,0.058324071681832124,0.04843614486657002,0.1695342339815103,24,24
160,2.5,13,0.06606416447685136,0.06802066191347991,-0.029615109070426582,8,8
160,2.5,14,0.0502082302319497,0.04143969405843487,0.17464340274505494,24,24
160,2.5,15,0.061144561236756836,0.055552074214620176,0.09146336009317468,24,24
160,2.5,16,0.055654271970811534,0.049064063351307634,0.11841334701063386,24,24
160,2.5,17,0.06191086492373416,0.06252238148756496,-0.009877370710037841,24,16
160,2.5,18,0.04918381157246206,0.040057509530409305,0.1855549976765639,24,24
160,2.5,19,0.0519248927344025,0.04200819317421561,0.19098160897339014,24,24
320,0.0,0,0.07295633016503907,0.06322088943123196,0.13344202911226433,24,24
320,0.0,1,0.0585877517175462,0.04291294011813793,0.2675441733107825,24,24
320,0.0,2,0.06066662439331317,0.04418564810002143,0.2716646336945082,24,24
